first_name,last_name,cust_title,business_name,cust_phone,cust_ext,sales_contact,contact_addr,contact_city,contact_state,contact_zip,contact_email,business_type,sales_contact,var_info_1,var_info_2,var_info_3,var_info_4,var_info_5,var_info_6,var_info_7,var_info_8,var_info_9,var_info_10
New ,Prospect ,,180medspa,4073140351,,,"976 N. Orange Ave, Suite B",Orlando,FL,32819,info@180medspa.com,Beauty Salon,,1.50021E+14,http://www.caskandlarder.com,,,,,,,,
New ,Prospect ,,3 Natives UCF,4075423491,,,4250 Alafaya Trail # 176,,FL,32819,andrew@3natives.com,Restaurant,,1.25097E+14,,,,,,,,,
New ,Prospect ,,3 Sisters Speakeasy,4072013270,,,226 Broadway,,FL,32819,sistersspeakeasy@hotmail.com,Bar & Grill,,1.5486E+14,,,,,,,,,
New ,Prospect ,,310 Lakeside,4073730310,,,301 E Pine St,Kissimmee,FL,34746,,Restaurant,,1.18312E+14,http://arishaenclave.com,,,,,,,,
New ,Prospect ,,310 Nona,4072031120,,,10783 Narcoossee Rd,Altamonte Springs,FL,32716,,New American Restaurant,,1.56456E+15,www.cmadv.org/,,,,,,,,
New ,Prospect ,,310 Park South,4076477277,,,310 S Park Ave,Winter Park,FL,32789,,New American Restaurant,,1.3774E+14,http://www.umiwinterpark.com/,,,,,,,,
New ,Prospect ,,310 Restaurants,4076477277,,,310 S Park Ave,Kissimmee,FL,34741,,Breakfast & Brunch Restaurant,,1.39228E+14,police.kissimmee.org,,,,,,,,
New ,Prospect ,,369 Lounge,3218060929,,,369 N Orange Ave,Orlando,FL,32804,369lounge@gmail.com,Dance & Night Club,,2.09583E+14,https://local.yahoo.com/info-31113379-savoy-orlando-orlando,,,,,,,,
New ,Prospect ,,4 Rivers Smokehouse,8444748377,,,1600 W Fairbanks Ave,,FL,32819,,Local Business,,1.91875E+15,,,,,,,,,
New ,Prospect ,,4 Rivers Smokehouse,8444748377,,,11764 University Boulevard,,FL,32819,,Local Business,,1.05339E+15,,,,,,,,,
New ,Prospect ,,407 Cafe,4076586733,,,9161 Narcoossee Road Suite 108,,FL,32819,info@407cafe.com,Coffee Shop,,2.43116E+14,,,,,,,,,
New ,Prospect ,,"55 West Apartments - Orlando, FL",4074180055,,,55 W Church St,,FL,32819,55west@zrsmanagement.com,Real Estate,,3.01094E+11,,,,,,,,,
New ,Prospect ,,64 North,3212457730,,,64 N Orange Ave,Orlando,FL,32819,info@64northorlando.com,Pub,,2.48251E+14,http://locations.dennys.com/FL/ORLANDO/200653/,,,,,,,,
New ,Prospect ,,7D Dark Ride Adventure,4076753166,,,8401 International Dr.,,FL,32819,marketing@faceamusement.com,Local Business,,1.77037E+15,,,,,,,,,
New ,Prospect ,,800 Credit Solutions,8443680132,,,401 W Donegan Ave,Lake Buena Vista,FL,32830,800creditsolutions@gmail.com,Business Consultant,,4.84909E+14,http://www.theboathouseorlando.com,,,,,,,,
New ,Prospect ,,903 Mills Market,4078984392,,,903 S Mills Ave,Altamonte Springs,FL,32714,lcbd1977@aol.com,New American Restaurant,,62625427520,www.kahrs.com,,,,,,,,
New ,Prospect ,,Aashirwad Indian Restaurant,4073709830,,,7000 S. Kirkman Road,,FL,32819,,Indian Restaurant,,1.61674E+14,,,,,,,,,
New ,Prospect ,,AAU Volleyball,4079347200,,,1910 Hotel Plaza Blvd,Orlando,FL,32819,socialmedia@aausports.org,Sports & Recreation,,5.43064E+14,http://www.thepalm.com/orlando,,,,,,,,
New ,Prospect ,,ABO Winter Park,4076367021,,,358 N Park Ave,Orlando,FL,32801,abo@be1concepts.com,Seafood Restaurant,,3.2381E+14,http://bit.ly/crowne-orlando,,,,,,,,
New ,Prospect ,,Abracadabra Ice Cream,4072012509,,,520 N Main St,,FL,32819,,Ice Cream Shop,,2.51266E+14,,,,,,,,,
New ,Prospect ,,Absolute Body Waxing and Spa,4076441693,,,"505 Park Ave N, Ste 205",Orlando,FL,32801,claudia@orlandowaxspa.com,Beauty Salon,,1.40977E+14,http://www.reggaeontheblock.com,,,,,,,,
New ,Prospect ,,Ace Cafe Orlando,4079966686,,,100 W Livingston St,Orlando,FL,32824,info@acecafeusa.com,American Restaurant,,1.74527E+14,http://www.titanmotorsports.com,,,,,,,,
New ,Prospect ,,Adega Grille,4078022998,,,5417 International Dr,Orlando,FL,32819,adegagrille@gmail.com,Portuguese Restaurant,,3.40908E+14,http://www.UniversalOrlando.com,,,,,,,,
New ,Prospect ,,AdLib Theatre,4134070103,,,"200 N. Denning Drive, Suite 1",,FL,32819,adlibcomedy@gmail.com,Company,,1.48928E+15,,,,,,,,,
New ,Prospect ,,Adriatico Trattoria Italiana,4074280044,,,2417 Edgewater Dr,Kissimmee,FL,34744,rosetta@adriatico-trattoria.com,Italian Restaurant,,89733649043,,,,,,,,,
