first_name,last_name,cust_title,business_name,cust_phone,cust_ext,sales_contact,contact_addr,contact_city,contact_state,contact_zip,contact_email,business_type,sales_contact,var_info_1,var_info_2,var_info_3,var_info_4,var_info_5,var_info_6,var_info_7,var_info_8,var_info_9,var_info_10
New ,Customer,,Chick-fil-A Mall At Millenia,4072269949,,,4200 Conroy Rd Ste 245,,FL,32803,01398@chick-fil-a.com,Local Business,,,,,,,,,,,
New ,Customer,,Chick-fil-A at Orlando Ave.,4076222445,,,700 S Orlando Ave,Orlando,FL,32803,01406@chick-fil-a.com,Local Business,,,,,,,,,,,
New ,Customer,,369 Lounge,3218060929,,,369 N Orange Ave,Orlando,FL,32819,369lounge@gmail.com,Dance & Night Club,,,,,,,,,,,
New ,Customer,,The Ivy Residences at Health Village,4076308711,,,2650 Dade Ave,,FL,32803,503890-39537-1127-2540@ilsleadtracker.com,Local Business,,,,,,,,,,,
New ,Customer,,55 West Apartments - Orlando FL,4074180055,,,55 W Church St,Lake Buena Vista,FL,32836,55west@zrsmanagement.com,Real Estate,,,,,,,,,,,
New ,Customer,,800 Credit Solutions,8443680132,,,401 W Donegan Ave,,FL,32803,800creditsolutions@gmail.com,Business Consultant,,,,,,,,,,,
New ,Customer,,Uno Pizzeria & Grill,4073518667,,,8250 International Dr,Orlando,FL,32801,960@unos.com,Local Business,,,,,,,,,,,
New ,Customer,,Truffles and Trifles,4076480838,,,711 W Smith St,,FL,32803,aarthur@cfl.rr.com,School,,,,,,,,,,,
New ,Customer,,ABO Winter Park,4076367021,,,358 N Park Ave,,FL,32803,abo@be1concepts.com,Seafood Restaurant,,,,,,,,,,,
New ,Customer,,Quest Horsemanship,4076079567,,,,,FL,32803,adamsgary@hotmail.com,Sports & Recreation,,,,,,,,,,,
New ,Customer,,Adega Grille,4078022998,,,5417 International Dr,Apopka,FL,32712,adegagrille@gmail.com,Portuguese Restaurant,,,,,,,,,,,
New ,Customer,,AdLib Theatre,4134070103,,,200 N. Denning Drive Suite 1,Oviedo,FL,32765,adlibcomedy@gmail.com,Company,,,,,,,,,,,
New ,Customer,,The DAVE School,4073851100,,,2500 Universal Studios Plaza Soundstage #25,Orlando,FL,32816,admissions@daveschool.com,School,,,,,,,,,,,
New ,Customer,,æffect hair,4074061181,,,425 W New England Ave,Orlando,FL,32819,aeffecthair@gmail.com,Hair Salon,,,,,,,,,,,
New ,Customer,,MS Cruisers,8888269660,,,104 Jay Dr,,FL,32803,alana@funcruiseandtravel.com,Travel Agency,,,,,,,,,,,
New ,Customer,,Alexander Hairdressing,4078398488,,,2310 Edgewater Dr,Orlando,FL,32803,alexanderhair@bellsouth.net,Hair Salon,,,,,,,,,,,
New ,Customer,,Guitar Center,4079759119,,,520 North Orlando Ave Suite 130,Orlando,FL,32803,all-store-773-winterpark-retail-managers@guitarcenter.com,Local Business,,,,,,,,,,,
New ,Customer,,Aloma Cinema Grill,4076788214,,,2155 Aloma Ave,,FL,32803,alomacg@aol.com,Restaurant,,,,,,,,,,,
New ,Customer,,Alta Moda Salon,4074818883,,,888 E Washington St,Orlando,FL,32827,altamodahairlounge@yahoo.com,Hair Salon,,,,,,,,,,,
New ,Customer,,Twin Peaks Restaurants,4076493171,,,227 W Sr-436,Winter Park,FL,32789,altamonte@twinpeaksrestaurant.com,Local Business,,,,,,,,,,,
New ,Customer,,Fuzzy's Taco Shop,4077907750,,,795 Gateway Dr,,FL,32803,altamontesprings@fuzzystacoshop.com,Local Business,,,,,,,,,,,
New ,Customer,,Anytime Fitness Altamonte Springs,4074624444,,,851 S State Road 434,,FL,32803,altamontespringsfl@anytimefitness.com,Local Business,,,,,,,,,,,
New ,Customer,,Ultimate Auto,4078491100,,,1010 W Colonial Dr,Orlando,FL,32839,alyssayount@ultimateauto.com,Motor Vehicle Company,,,,,,,,,,,
New ,Customer,,Winter Park YMCA,4076441509,,,1201 N Lakemont Ave,,FL,32803,amace@cfymca.com,Gym/Physical Fitness Center,,,,,,,,,,,
New ,Customer,,Amura Japanese Restaurant (Dr.Phillips),4073700007,,,7786 W Sand Lake Rd,Orlando,FL,32803,amurasandlake@gmail.com,Japanese Restaurant,,,,,,,,,,,
New ,Customer,,UCF Creative School for Children,4078232726,,,4000 Central Florida Blvd Bldg 24,,FL,32803,amy.hesse@ucf.edu,School,,,,,,,,,,,
New ,Customer,,3 Natives UCF,4075423491,,,4250 Alafaya Trail # 176,Orlando,FL,32801,andrew@3natives.com,Restaurant,,,,,,,,,,,
New ,Customer,,CrossFit Lake Nona,4077455038,,,8229 Narcoossee Park Dr Ste 324,Kissimmee,FL,34741,angela@crossfitlakenona.com,Gym/Physical Fitness Center,,,,,,,,,,,
New ,Customer,,Signature Financial Group Small Business Consulting,4077490793,,,581 Park Ave N # 1425,Lake Buena Vista,FL,32830,ann@goodlifefs.com,Business Consultant,,,,,,,,,,,
New ,Customer,,The Property Pros Real Estate Inc.,4078797591,,,3495 W Vine St,,FL,32803,anthony.propertypros@gmail.com,Company,,,,,,,,,,,
New ,Customer,,Antica Pizzeria and mozzarella bar,4078347770,,,249 W State Highway 436 1105,Altamonte Springs,FL,32714,anticapizzeria1@gmail.com,Pizza Place,,,,,,,,,,,
New ,Customer,,AKT Racing Team,9396424304,,,10769 Savannah Landing Cir,Lake Buena Vista,FL,32830,apontekt@gmail.com,Go-Kart Track,,,,,,,,,,,
New ,Customer,,Retro Fitness Apopka,4079176592,,,480 S. Hunt Club Boulevard,,FL,32803,apopkafl@retrofitness.net,Gym/Physical Fitness Center,,,,,,,,,,,
New ,Customer,,Aquatica Orlando,8888005447,,,5800 Water Play Way,,FL,32803,aquatica@seaworld.com,Water Park,,,,,,,,,,,
New ,Customer,,Arcade City,4072333501,,,8371 International Dr #50,,FL,32803,arcadecitymgr101@faceamusement.com,Local Business,,,,,,,,,,,
New ,Customer,,Light Up UCF,4078236006,,,12777 Gemini Blvd S,,FL,32803,arenamkg@ucf.edu,Event,,,,,,,,,,,
New ,Customer,,ArepasCafe & More,4073354903,,,1156 W State Road 436,Orlando,FL,32803,arepascafeandmore@gmail.com,Venezuelan Restaurant,,,,,,,,,,,
New ,Customer,,ARIUM Alafaya Trail,4076270120,,,2590 Greenhill Way,,FL,32803,ariumalafayatrail@carrollmg.com,Real Estate,,,,,,,,,,,
New ,Customer,,Casa Feliz Historic Home Museum,4076288200,,,656 Park Ave N,,FL,32803,aroark@casafeliz.us,Museum,,,,,,,,,,,
